"common_name","code","sci_name","code6","nombre_comun_MX","birdofprey","woodpecker","hummingbird","waterfowl","shorebirds","waterbird_guild","in_Andradeetal2022","habitat_guild","habitat_guild_Andradeetal2022","trait_cluster","cultural_niche","in_Warrenetal2019","habitat_guild_Warrenetal2019","in_LermanWarren2011","habitat_guild_LermanWarren2011","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","ESA","DATE","BLM","USFS","NESL","MEXFED","SGCN","NPL","SRANK","GRANK","assessmentId","internalTaxonId","redlistCategory","redlistCriteria","yearPublished","assessmentDate","criteriaVersion","language","rationale","habitat","threats","population","populationTrend","range","useTrade","systems","conservationActions","realm","yearLastSeen","possiblyExtinct","possiblyExtinctInTheWild","scopes","Diet.FruitSeed","Pollinator","SeedDisperser","Invertivore"
"Abert's Towhee","ABTO","Melozone aberti","MELABE","Rascador Enmascarado",0,0,0,0,0,NA,1,"Desert","Desert","Familiar","Neighbor",1,"Desert",1,"Desert","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Abert's Towhee",80,0,0,0,0,0,0,0,20,0,"Invertebrate",0,0,70,30,0,0,0,0,1,0,"Passerellidae","Passeriformes",6,1,5,0,6,16.6,10.4,5.6,8.3,28.4,89.7,11.5,78.2,12.8,110.5,45.9,"Shrubland",2,1,"Carnivore","Invertivore","Generalist",NA,NA,NA,"S",NA,NA,2,NA,"S3","G4",136939312,22721315,"Least Concern","",2021,"2020-11-05 00:00:00 UTC",3.1,"English","This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is inferred to number 950,000 mature individuals (Partners in Flight 2019).","Increasing","","","Terrestrial","","Nearctic",NA,"false","false","Global",20,0,0,1
"Acorn Woodpecker","ACWO","Melanerpes formicivorus","MELFOR","Carpintero Bellotero",0,1,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Acorn Woodpecker",20,0,0,0,0,0,10,10,60,0,"PlantSeed",0,0,0,0,40,60,0,0,1,0,"Picidae","Piciformes",8,4,3,1,4,26.9,20.6,8.2,7.4,21.8,139.8,40.1,103.6,28,84.5,79.6,"Woodland",2,1,"Herbivore","Granivore","Insessorial",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",92880196,22680813,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","","Increasing","","","Terrestrial","","Nearctic|Neotropical",NA,"false","false","Global",70,0,1,0
"African Collared-Dove","AFCD","Streptopelia roseogrisea","STRROS","Paloma de Collar Africana",0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","African Collared-dove",10,0,0,0,0,0,0,0,70,20,"PlantSeed",0,0,100,0,0,0,0,0,1,0,"Columbidae","Columbiformes",5,2,3,0,4,19.4,10.1,3.7,3.8,21.2,159.2,62.2,96.8,39.2,106,155,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,"SE4?","G5",133401762,22690515,"Least Concern","",2018,"2018-08-09 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population size has not been quantified, but the species is described as common to locally abundant (Gibbs et al. 2001).","Stable","","","Terrestrial","","Afrotropical|Neotropical|Palearctic",NA,"false","false","Global",70,0,1,0
"American Avocet","AMAV","Recurvirostra americana","RECAME","Avoceta Americana",0,0,0,0,1,"Shorebird",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Charadriiformes","Recurvirostridae","Stilts and avocets",53,"BL3","American Avocet",80,0,0,0,0,0,0,0,20,0,"Invertebrate",0,50,50,0,0,0,0,0,1,0,"Recurvirostridae","Charadriiformes",5,2,3,0,4,91.2,73.9,6.6,5.2,92,218.2,104.4,113.8,47.8,81.8,304.5,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,"S2","G5",188601874,22693717,"Least Concern","",2021,"2020-10-30 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is estimated to number 460,000 mature individuals (Partners in Flight 2020).","Stable","","","Terrestrial|Freshwater (=Inland waters)|Marine","","Nearctic|Neotropical",NA,"false","false","Global",20,0,0,0
"American Bittern","AMBI","Botaurus lentiginosus","BOTLEN","Avetoro NorteÒo",0,0,0,0,0,"Marsh Bird",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","American Bittern",20,0,20,60,0,0,0,0,0,0,"VertFishScav",0,70,30,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",5,2,3,0,4,82.4,58.6,10.7,15.2,89.7,270.8,84.7,180.1,32,88.6,706,"Wetland",1,3,"Carnivore","Aquatic predator","Terrestrial",NA,NA,NA,NA,NA,"A",2,NA,"S1S2","G5",93609388,22697340,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","","Decreasing","","","Terrestrial|Freshwater (=Inland waters)","","Nearctic|Neotropical",NA,"false","false","Global",0,0,0,0
"American Coot","AMCO","Fulica americana","FULAME","Gallareta Americana",0,0,0,0,0,"Marsh Bird",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Gruiformes","Rallidae","Rails, crakes and allies",42,"BL3","American Coot",20,0,0,0,0,0,0,0,40,40,"PlantSeed",50,50,0,0,0,0,0,0,1,0,"Rallidae","Gruiformes",11,4,4,3,10,37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,36.3,50.6,636.7,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",95190980,62169677,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The population is estimated to number 6,000,000 individuals.","Decreasing","","","Terrestrial|Freshwater (=Inland waters)|Marine","","Nearctic|Neotropical",NA,"false","false","Global",40,0,1,0
"American Crow","AMCR","Corvus brachyrhynchos","CORBRA","Cuervo Norteamericano",0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,"Passeriformes","Passeriformes","Corvidae","Crows and jays",147,"BL3","American Crow",20,10,10,10,0,20,20,0,10,0,"Omnivore",0,0,80,20,0,0,0,0,1,0,"Corvidae","Passeriformes",26,8,17,1,8,49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,"Human Modified",2,2,"Omnivore","Omnivore","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",131945410,22705990,"Least Concern","",2018,"2018-08-09 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","","Increasing","","","Terrestrial","","Nearctic",NA,"false","false","Global",30,0,1,0
"American Goldfinch","AGOL","Spinus tristis","SPITRI","Jilguero Canario",0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,"Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","American Goldfinch",10,0,0,0,0,0,0,10,60,20,"PlantSeed",0,0,33,33,33,0,0,0,1,0,"Fringillidae","Passeriformes",9,4,5,0,8,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,"Forest",1,1,"Herbivore","Granivore","Insessorial",NA,NA,NA,NA,NA,NA,NA,NA,"S1B,S5N","G5",94669207,22720407,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","","Increasing","","","Terrestrial","","Nearctic|Neotropical",NA,"false","false","Global",60,0,1,0
"American Kestrel","AMKE","Falco sparverius","FALSPA","CernÌcalo Americano",1,0,0,0,0,NA,1,"Generalist","Generalist","Metropolitan","Celebrity",1,"Generalist",1,"Generalist","Nonpasseriformes","Falconiformes","Falconidae","Falcons and caracaras",35,"BL3","American Kestrel",60,20,20,0,0,0,0,0,0,0,"Invertebrate",0,0,50,40,10,0,0,0,1,0,"Falconidae","Falconiformes",7,1,5,1,4,17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,"Grassland",3,3,"Carnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,NA,2,NA,"S3S4","G5",93559037,22696395,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","","Stable","","","Terrestrial|Freshwater (=Inland waters)","","Antarctic|Nearctic|Neotropical",NA,"false","false","Global",0,0,0,1
"American Pipit","AMPI","Anthus rubescens","ANTRUB","Bisbita Norteamericana",0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,"Passeriformes","Passeriformes","Motacillidae","Wagtails and pipits",170,"BL3","American Pipit",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,90,10,0,0,0,0,1,0,"Motacillidae","Passeriformes",5,2,3,0,4,14.5,9.4,3.1,3.1,21.2,85,24.1,60.9,28.4,67.6,20.7,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",NA,NA,NA,NA,NA,NA,2,NA,"S2B,S5N","G5",155437845,22718575,"Least Concern","",2019,"2018-08-09 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). &#160;Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). &#160;The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). &#160;For these reasons the species is evaluated as Least Concern.","","","The global population is estimated to number &gt; c.20,000,000 individuals (Rich <em>et al</em>. 2004), while national population sizes have been estimated at c.50-1,000 individuals on migration and c.50-1,000 wintering individuals in Taiwan and c.10,000-100,000 breeding pairs and c.1,000-10,000 individuals on migration in Russia (Brazil 2009).","Decreasing","Race&#160;<em>A. r.&#160;japonicus</em>&#160;breeds in <strong>Russia </strong>in southeastern Taymyr, western Siberian Plateau, and from east of Lena river, Yakutsk region and Lake Baikal east to Chukotsk Peninsula, Commander Islands, Sakhalin and Kuril Islands;&#160;winters in southern Asia. &#160;<em>A. r.&#160;pacificus</em>&#160;breeds in western North America (Alaska, <strong>USA </strong>and Coast Range south to Oregon); winters south&#160;to western <strong>Mexico</strong>.&#160;<em>A. r.&#160;alticola</em>&#160;breeds C &amp; southern&#160;Rocky Mts (south&#160;from southern&#160;British Columbia), also locally in mountains west&#160;to California (southwestern&#160;USA); winters south&#160;to Mexico. &#160;<em>A. r.&#160;rubescens</em>&#160;breeds northern and eastern <strong>Canada</strong>, occasionally western&#160;Greenland and extreme northeastern USA; winters south&#160;to Central America.","","Terrestrial|Freshwater (=Inland waters)|Marine","","Indomalayan|Nearctic|Neotropical|Palearctic",NA,"false","false","Global",20,0,0,1
"American Robin","AMRO","Turdus migratorius","TURMIG","Mirlo Primavera",0,0,0,0,0,NA,1,"Generalist","Generalist","Distinctive","Friend",0,NA,1,"Generalist","Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","American Robin",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,20,40,40,0,0,0,1,0,"Turdidae","Passeriformes",14,8,6,0,5,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Forest",3,3,"Omnivore","Invertivore","Generalist",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",139392811,103889499,"Least Concern","",2021,"2020-11-11 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is inferred to number 370 million mature individuals (Partners in Flight 2019).","Stable","","","Terrestrial","","Nearctic|Neotropical|Palearctic",NA,"false","false","Global",50,0,1,1
"American White Pelican","AWPE","Pelecanus erythrorhynchos","PELERY","PelÌcano Blanco Americano",0,0,0,0,0,"Fish eating",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Pelecaniformes","Pelecanidae","Pelicans",30,"BL3","American White Pelican",0,0,0,100,0,0,0,0,0,0,"VertFishScav",100,0,0,0,0,0,0,0,1,0,"Pelecanidae","Pelecaniformes",5,0,2,3,4,319.8,296.8,39.6,38.8,115.9,561,251,308.8,44.9,146.2,5608.5,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",NA,NA,NA,NA,NA,NA,NA,NA,"S3N","G4",93624242,22697611,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The population is estimated to number 180,000 individuals.","Increasing","","","Terrestrial|Freshwater (=Inland waters)|Marine","","Nearctic|Neotropical",NA,"false","false","Global",0,0,0,0
"American Wigeon","AMWI","Mareca americana","MARAME","Pato Chalcu·n",0,0,0,1,0,"Dabbler",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","American Wigeon",0,0,0,0,0,0,0,0,0,100,"PlantSeed",0,50,50,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,3,0,3,44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,754.6,"Wetland",3,3,"Herbivore","Omnivore","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,"S1B,S5N","G5",137010293,22680163,"Least Concern","",2021,"2020-11-13 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend may be decreasing, there is some uncertainty and any potential overall decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is estimated to number 2,700,000 mature individuals (Partners in Flight 2019).","Decreasing","","","Terrestrial|Freshwater (=Inland waters)|Marine","","Nearctic|Neotropical|Oceanian",NA,"false","false","Global",0,0,0,0
"Anna's Hummingbird","ANHU","Calypte anna","CALANN","ColibrÌ Cabeza Roja",0,0,1,0,0,NA,1,"Generalist","Generalist","Hummingbird","Neighbor",1,"Desert",1,"Generalist","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Anna's Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect",0,0,0,20,80,0,0,0,1,0,"Trochilidae","Caprimulgiformes",5,2,3,0,3,20.6,15.7,1.6,1.7,4.6,49,32.1,16.9,65.6,30,4.2,"Woodland",2,2,"Herbivore","Nectarivore","Aerial",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",186913595,22688199,"Least Concern","",2021,"2020-10-12 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is estimated to number 9,600,000 mature individuals (Partners in Flight 2019).","Increasing","","","Terrestrial","","Nearctic",NA,"false","false","Global",0,1,0,0
"Ash-throated Flycatcher","ATFL","Myiarchus cinerascens","MYICIN","Papamoscas Garganta Ceniza",0,0,0,0,0,NA,1,"Desert","Desert","Distinctive","Neighbor",0,NA,1,"Desert","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Ash-throated Flycatcher",70,0,10,0,0,0,20,0,0,0,"Invertebrate",0,0,0,70,30,0,0,0,1,0,"Tyrannidae","Passeriformes",6,3,3,0,4,23,14.3,6.8,6.2,22.4,96,19.8,77,20.4,89.7,28.2,"Shrubland",2,3,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,NA,NA,NA,"S5","G5",137971239,22700427,"Least Concern","",2021,"2020-10-14 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km<sup>2</sup> combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is extremely large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","","The global population is estimated to number 10,000,000 mature individuals (Partners in Flight 2019).","Increasing","","","Terrestrial|Freshwater (=Inland waters)","","Nearctic|Neotropical",NA,"false","false","Global",20,0,0,1
"Bald Eagle","BAEA","Haliaeetus leucocephalus","HALLEU","¡guila Cabeza Blanca",1,0,0,0,0,"Fish eating",0,NA,NA,NA,NA,0,NA,0,NA,"Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Bald Eagle",0,30,20,30,0,20,0,0,0,0,"VertFishScav",0,40,30,0,10,10,10,0,1,0,"Accipitridae","Accipitriformes",4,2,2,0,4,76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,"Wetland",3,3,"Carnivore","Omnivore","Generalist","SC","2008-05-01","S","S",2,"P",1,NA,"S2S3,S4N","G5",93492523,22695144,"Least Concern","",2016,"2016-10-01 00:00:00 UTC",3.1,"English","This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","","Past declines have been attributed to intense hunting, unintentional poisonings (notably use of DDT and lead shot), and habitat destruction in combination with the loss of great herds of bison, a seasonally important food source.","(Rich et al. 2004)","Increasing","This species breeds in Canada, USA, Mexico, and the French island territories of Saint Pierre and Miquelon. It is considered a vagrant in Belize, Bermuda, Ireland, Puerto Rico, and the US Virgin Islands.","","Terrestrial|Freshwater (=Inland waters)|Marine","","Nearctic",NA,"false","false","Global",0,0,0,0
